boodschapten,boodschapten
spruytende,spruitende
noodtwendige,noodwendige
heyligden,heiligden
arsaces,arsaces
vriendschap,vriendschap
steenachtige,steenachtige
avondt,avond
uythouwt,uithouwt
helam,hem
gemaeckt,gemaakt
onechte,onechte
vuyst,vast
imri,imri
hemelsche,hemelse
vulle,zullen
rakkath,rakkath
gespickelt,gespikkeld
sarona,sarona
vervoechden,vervoegden
rechobs,rechob
toesluyte,toesluite
onwetende,onwetend
ammorriten,ammorieten
kleeddense,kleedden
krijghen,krijgen
lastaeressen,lasteressen
aendoet,aandoet
voorneme,voorneem
asdoditen,asdodieten
lieflicken,liefelijken
alreede,alrede
afghekomen,afgekomen
verootmoedigt,verootmoedigd
vremdelingschaps,vreemdelingschap
verwachten,verwachten
denne,den
altijdt,altijd
myra,myra
inwortelen,inwortelen
verbrandde,verbrandde
bedwing,bedwing
dieren,dieren
grootere,grotere
doorbrekingen,doorbrekingen
verdruckende,verdrukkende
waernemen,waarnemen
komenden,komende
smeeckt,smeek
huysgesin,huisgezin
versmadinge,versmading en
ontmoetede,ontmoette
vijve,vijf
doorgronden,doorgronden
smoutich,smoutig
vreeset,vreest
opper,onder
bevend,bevend
zers,zee
korens,koren
vermeerderen,vermeerderen
vervaernissen,vervaarnissen
uytgedroogt,uitgedroogd
ierubbeseths,jerubbeseth
kastijdinghe,kastijding
besmett,besmet
ionge,jonge
tmijn,mij
vermach,vermag
werdense,werden
afkomende,afkomende
bevel,bevel
doorgroef,doorgroef
schriften,schriften
begoten,begoten
vertrooster,vertrooster
verderflijck,verderfelijk
voorspoedt,voorspoed
vaizatha,vaizatha
weke,deze
zedad,zedad
sobals,sobal
opgeblasen,opgeblazen
knoop,knoop
aenschijn,aanschijn
ginswaerts,gindswaarts
tnegentigh,negentig
vertroostet,vertroost
velden,velden
groensel,groensel
getoogen,getogen
uytleggingen,uitleggingen
sonnebeelden,zonnebeelden
wreedt,wreed
rantsoen,rantsoen
loofden,loofden
boosheden,boosheden
iah,al
omwegen,omwegen
betrouwtmen,betrouwen
chinneroth,cinneroth
lebaoth,lebaoth
begroeven,begroeven
begroefse,begroef
moetwillicheden,moedwilligheden
onderkennen,onderkennen
roeden,roeden
gehaett,gehaat
rotze,grote
straffen,straffen
belmen,belmen
ergens,ergens
predikende,predikende
dienstmaegden,dienstmaagden
toornt,toornt
vertrouwe,vertrouw
dreunde,dreunde
onses,ons
opkomende,opkomende
gesteunt,gesteund
omgaende,omgaande
vyanden,vijanden
haroseth,haroseth
talitha,talitha
terstondt,terstond
klonck,klonk
nederlegge,nederlegge
toestoppen,toestoppen
rasch,ras
verbrakense,verbraken
braket,braakt
voetplanten,voetplanten
uytspruytelingen,uitspruitelingen
krausel,krauwsel
abiams,abiam
tummim,thummim
chelba,chelba
maeyende,maaiende
smeeckte,smeekte
cederboomen,cederbomen
zaede,aarde
mddelaer,middelaar
nieuws,nieuws
beyde,beide
sienden,ziende
gemeente,gemeente
vrolicker,vrolijker
maekt,maakt
bundelen,bundelen
stervense,sterven
najaeghde,najaagde
onderwerpt,onderwerpt u
voncken,vonken
hoereerder,hoereerder
maharai,maharai
elisama,elisama
zibeon,zibeon
opdoen,opdoen
stelden,stelden
vijvers,vijver
verschrickten,verschrikten
doorbrack,doorbrak
reyst,reist
beantwoorde,beantwoordde
bemoeyde,bemoeide
swoeren,zwoeren
eude,de
huysvrouwen,huisvrouwen
bootschapten,boodschapten
gewonne,gewon
ondoorgrondelick,ondoorgrondelijk
verbeterde,verbeterde
schamens,schamens
ieremia,jeremia
cranckheden,krankheden
uytschudt,uitschudt
uytkiesen,uitkiezen
overlegginge,overlegging
gekleet,gekleed
rechen,rechten
tegenspoet,tegenspoed
gesprengt,gesprengd
rimmon,rimmon
vervolght,vervolgt
azgad,azgad
overdenckinge,overdenking
verantwoort,verantwoordt
beminners,beminnaars
aniam,aniam
beletten,beletten
gerekent,gerekend
gevult,gevuld
achsaph,achsaf
bersteden,berstten
cleederen,klederen
jaegde,jaagde
vecht,vecht
vergeleken,vergeleken
zecharia,zecharja
gehoorsame,gehoorzame
gewandelt,gewandeld
gesponnene,gesponnene
verreysden,verreisden
vercken,varken
zaey,zal
iaazanja,jaazanja
verhouwen,verhouwen
ardon,ardon
schoten,schoten
voorseggen,voorzeggen
vermelden,vermelden
daverden,daverde
esther,esther
avonden,avonden
vreesen,vrezen
ghelijck,gelijk
kristal,kristal
baharumiter,baharumiet
nest,het
alcimus,alcimus
voorstel,voorstel
geklapt,geklapt
kamers,kamers
vloogh,vloog
raetsel,raadsel
braken,braken
iekamja,jekamja
wijnbergen,wijnbergen
veel,veel
omswevende,omzwevende
telt,tot
iabbok,jabbok
isbi,isbi
gas,gas
kruythof,kruidhof
eylandt,eiland
